sentence,Predicted metaphor,Reference metaphor,Question Target,Answer Question Target Annotator 1,Question Source,Answer Question Source Annotator 1,Notes,Answer Question Target Annotator 2,Answer Question Source Annotator 2,Answer Question Target Annotator 3,Answer Question Source Annotator 3
When my mother finds out she'll have a fit,EMOTIONAL REACTIONS ARE PHYSICAL AILMENTS,ANGER IS INSANITY,Is EMOTIONAL REACTIONS the same or closely related to ANGER?,Yes,Is PHYSICAL AILMENTS the same or closely related to INSANITY?,Yes,,yes,yes,Yes,Yes
This gives me a great idea!,IDEAS ARE OBJECTS,LEARNING IS ACQUIRING,Is IDEAS the same or closely related to LEARNING?,No,Is OBJECTS the same or closely related to ACQUIRING?,No,,yes,yes,Yes,Yes
She's out of her depression,MENTAL STATES ARE CONTAINERS,EXPERIENCING A STATE IS BEING AT A LOCATION,Is MENTAL STATES the same or closely related to EXPERIENCING A STATE?,No,Is CONTAINERS the same or closely related to BEING AT A LOCATION?,No,,yes,yes,No,No
He just can't seem to grasp the concept,UNDERSTANDING IS GRASPING,UNDERSTANDING IS GRASPING,Is UNDERSTANDING the same or closely related to UNDERSTANDING?,Yes,Is GRASPING the same or closely related to GRASPING?,Yes,,yes,yes,Yes,Yes
What's holding you back from pursuing your dreams,OBSTACLES ARE PHYSICAL RESTRAINTS,DIFFICULTIES ARE IMPEDIMENTS TO MOVEMENT,Is OBSTACLES the same or closely related to DIFFICULTIES?,Yes,Is PHYSICAL RESTRAINTS the same or closely related to IMPEDIMENTS TO MOVEMENT?,No,,yes,yes,Yes,Yes
He got rid of his headache,PROBLEMS ARE OBJECTS THAT CAN BE REMOVED,CHANGE IS LOSS,Is PROBLEMS the same or closely related to CHANGE?,No,Is OBJECTS THAT CAN BE REMOVED the same or closely related to LOSS?,Yes,,yes,yes,Yes,Yes
That's all behind us now,TIME IS SPACE,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,Is TIME the same or closely related to TIME?,Yes,Is SPACE the same or closely related to A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES?,Yes,,yes,yes,Yes,Yes
We are going nowhere with this,PROGRESS IS MOVEMENT,PURPOSEFUL ACTION IS SELF-PROPELLED MOTION TO A DESTINATION,Is PROGRESS the same or closely related to PURPOSEFUL ACTION?,No,Is MOVEMENT the same or closely related to SELF-PROPELLED MOTION TO A DESTINATION?,Yes,,yes,yes,No,Yes
A Triumph in the War Against Cancer,CANCER RESEARCH IS WAR,DISEASE TREATMENT IS WAR,Is CANCER RESEARCH the same or closely related to DISEASE TREATMENT?,No,Is WAR the same or closely related to WAR?,Yes,,yes,yes,Yes,Yes
The CEO looks after her employees with motherly kindness,ORGANIZATION IS A FAMILY,MORAL AGENTS ARE NURTURING PARENTS,Is ORGANIZATION the same or closely related to MORAL AGENTS?,No,Is A FAMILY the same or closely related to NURTURING PARENTS?,Yes,,yes,yes,No,Yes
He's pure of heart and therefore would never hurt someone,HEART IS A CONTAINER FOR MORAL QUALITIES,MORALITY IS PURITY,Is HEART the same or closely related to MORALITY?,No,Is A CONTAINER FOR MORAL QUALITIES the same or closely related to PURITY?,No,,yes,yes,Yes,No
His eyes scoured the horizon,VISUAL PERCEPTION IS THOROUGH SEARCHING,SEEING IS TOUCHING,Is VISUAL PERCEPTION the same or closely related to SEEING?,Yes,Is THOROUGH SEARCHING the same or closely related to TOUCHING?,No,,yes,yes,Yes,Yes
He's down with the flu,ILLNESS IS DOWN,HEALTH IS VERTICALITY,Is ILLNESS the same or closely related to HEALTH?,Yes,Is DOWN the same or closely related to VERTICALITY?,Yes,,yes,yes,Yes,Yes
If the injustice is part of the necessary friction of the machine of government let it go: perchance it will wear smooth--certainly the machine will wear out,GOVERNMENT IS A MACHINE,GOVERNMENT INSTITUTION IS A MACHINE,Is GOVERNMENT the same or closely related to GOVERNMENT INSTITUTION?,No,Is A MACHINE the same or closely related to A MACHINE?,Yes,,,,Yes,Yes
I have no idea what my friends are doing they've kept me completely in the dark,LACK OF KNOWLEDGE IS DARKNESS,KNOWING IS PERCEIVING,Is LACK OF KNOWLEDGE the same or closely related to KNOWING?,Yes,Is DARKNESS the same or closely related to PERCEIVING?,No,,,,Yes,No
He has control over all the workers,POWER IS UP,CONTROL IS A POSSESSION,Is POWER the same or closely related to CONTROL?,Yes,Is UP the same or closely related to A POSSESSION?,No,,,,Yes,No
He's pure evil,EVIL IS A SUBSTANCE,PURITY IS CLEANLINESS,Is EVIL the same or closely related to PURITY?,No,Is A SUBSTANCE the same or closely related to CLEANLINESS?,No,,,,No,No
I had reached the boiling point,ANGER IS HEAT,ANGER IS THE HEAT OF FLUID IN A CONTAINER,Is ANGER the same or closely related to ANGER?,Yes,Is HEAT the same or closely related to THE HEAT OF FLUID IN A CONTAINER?,Yes,,,,Yes,Yes
Another round of cuts will cripple the economy,ECONOMIC DECLINE IS PHYSICAL INJURY,CAUSING ECONOMIC HARDSHIP IS CAUSING PHYSICAL HARM,Is ECONOMIC DECLINE the same or closely related to CAUSING ECONOMIC HARDSHIP?,Yes,Is PHYSICAL INJURY the same or closely related to CAUSING PHYSICAL HARM?,Yes,,,,Yes,Yes
Opponents tried to dismantle the theory piece by piece,THEORIES ARE PHYSICAL OBJECTS,THEORIES ARE BUILDINGS,Is THEORIES the same or closely related to THEORIES?,Yes,Is PHYSICAL OBJECTS the same or closely related to BUILDINGS?,No,,,,Yes,Yes
He's in a superior position,STATUS IS SPATIAL POSITION,CONTROL IS UP,Is STATUS the same or closely related to CONTROL?,No,Is SPATIAL POSITION the same or closely related to UP?,Yes,,,,No,Yes
Both sides girded for battle as they knew the general election would be a hard-won fight,ELECTION IS WAR,ELECTION IS WAR,Is ELECTION the same or closely related to ELECTION?,Yes,Is WAR the same or closely related to WAR?,Yes,,,,Yes,Yes
and asked them to be serious towards bringing a full-fledged budget at the earliest to ensure that the country functions smoothly,COUNTRY IS MACHINE,NATION IS A MACHINE,Is COUNTRY the same or closely related to NATION?,Yes,Is MACHINE the same or closely related to A MACHINE?,Yes,,,,Yes,Yes
His income fell last year,QUALTITY CHANGE IS VERTICAL MOTION,QUANTITY IS VERTICALITY,Is QUALTITY CHANGE the same or closely related to QUANTITY?,Yes,Is VERTICAL MOTION the same or closely related to VERTICALITY?,Yes,,,,No,Yes
He is just floating around,AIMLESS BEHAVIOR IS FLOATING,ACHIEVING A PURPOSE IS REACHING A DESTINATION,Is AIMLESS BEHAVIOR the same or closely related to ACHIEVING A PURPOSE?,No,Is FLOATING the same or closely related to REACHING A DESTINATION?,No,,,,No,No
Do the exercises at the end of this chapter,LEARNING IS EXERCISE,MIND IS A BODY,Is LEARNING the same or closely related to MIND?,No,Is EXERCISE the same or closely related to A BODY?,No,,,,Yes,Yes
RNA transcription,BIOLOGICAL PROCESS IS WRITING,A GENOME IS A TEXT,Is BIOLOGICAL PROCESS the same or closely related to A GENOME?,No,Is WRITING the same or closely related to A TEXT?,No,,,,Yes,Yes
tissues composed of cells that have become independent to some degree of the normal growth-controlling forces of the host,BIOLOGICAL ENTITIES ARE CONTROL SYSTEMS,(TUMOUR) CELLS ARE HUMAN BEINGS LIVING IN A SOCIETY,Is BIOLOGICAL ENTITIES the same or closely related to (TUMOUR) CELLS?,Yes,Is CONTROL SYSTEMS the same or closely related to HUMAN BEINGS LIVING IN A SOCIETY?,No,,,,Yes,Yes
[of cancer elements] Their further fate depends on various factors,FATE IS DEPENDENT ON FACTORS,(TUMOUR) CELLS ARE HUMAN BEINGS,Is FATE the same or closely related to (TUMOUR) CELLS?,No,Is DEPENDENT ON FACTORS the same or closely related to HUMAN BEINGS?,No,,,,No,No
This information is encoded in DNA,BIOLOGICAL PROCESSES ARE INFORMATION PROCESSES,A GENOME IS A TEXT,Is BIOLOGICAL PROCESSES the same or closely related to A GENOME?,No,Is INFORMATION PROCESSES the same or closely related to A TEXT?,No,,,,Yes,Yes
"Within a specific cell type, certain genes are ""switched on"" while others are ""switched off"" and thus inaccessible to the cell's transcriptional machinery.",GENE EXPRESSION IS SWITCHING,A CELL IS A MACHINE,Is GENE EXPRESSION the same or closely related to A CELL?,No,Is SWITCHING the same or closely related to A MACHINE?,No,,,,Yes,Yes
the cells that can mediate the greatest killing,CELLS ARE AGENTS,(TUMOUR) CELLS ARE HUMAN BEINGS,Is CELLS the same or closely related to (TUMOUR) CELLS?,Yes,Is AGENTS the same or closely related to HUMAN BEINGS?,Yes,,,,Yes,Yes
the multistep process of neoplasia,NEOPLASIA IS A JOURNEY,CARCINOGENESIS/METASTASIS CONSIST OF SEVERAL STEPS,Is NEOPLASIA the same or closely related to ?,Yes,Is A JOURNEY the same or closely related to ?,Yes,,,,No,No
providing the cell with the ability to withstand toxic agentd,BIOLOGICAL PROCESS IS AGENCY,MANY ENTITIES ARE CAUSATIVE AGENTS,Is BIOLOGICAL PROCESS the same or closely related to MANY ENTITIES?,No,Is AGENCY the same or closely related to CAUSATIVE AGENTS?,Yes,,,,No,Yes
"promoting agents, or the new class of ""progressor"" agents",AGENTS ARE PROGRESSORS,MANY ENTITIES ARE CAUSATIVE AGENTS,Is AGENTS the same or closely related to MANY ENTITIES?,Yes,Is PROGRESSORS the same or closely related to CAUSATIVE AGENTS?,No,,,,Yes,Yes
their [cancer cells'] chance of survival,CANCER CELLS ARE LIVING BEINGS,(TUMOUR) CELLS ARE HUMAN BEINGS,Is CANCER CELLS the same or closely related to (TUMOUR) CELLS?,Yes,Is LIVING BEINGS the same or closely related to HUMAN BEINGS?,Yes,,,,Yes,Yes
"a layer of ""feeder cells""",CELLS ARE FEEDERS,(TUMOUR) CELLS ARE HUMAN BEINGS,Is CELLS the same or closely related to (TUMOUR) CELLS?,Yes,Is FEEDERS the same or closely related to HUMAN BEINGS?,Yes,,,,Yes,No
"A related technique, called the polymerate chain reaction (PCR), uses specific primers to copy and amplify a specific DNA sequence.",PCR IS TARGETED REPLICATION,A GENOME IS A TEXT,Is PCR the same or closely related to A GENOME?,No,Is TARGETED REPLICATION the same or closely related to A TEXT?,No,,,,Yes,No
Tumor cell invasio requires crossing tissue compartment barriers such as basement membranes and interstitial connective tissues.,BIOLOGICAL STRUCTURES ARE PHYSICAL BARRIERS,(TUMOUR) CELLS ARE HUMAN BEINGS,Is BIOLOGICAL STRUCTURES the same or closely related to (TUMOUR) CELLS?,No,Is PHYSICAL BARRIERS the same or closely related to HUMAN BEINGS?,No,,,,No,No
"It [the cell] may divide, giving rise to one or more generations of daughter cells before some or all of the progeny become sterile",CELL REPRODUCTION IS FAMILY LINEAGE,(TUMOUR) CELLS ARE HUMAN BEINGS,Is CELL REPRODUCTION the same or closely related to (TUMOUR) CELLS?,Yes,Is FAMILY LINEAGE the same or closely related to HUMAN BEINGS?,No,,,,Yes,Yes
